url,3p-domain
https://web.archive.org/web/20120526060135/http://www.027art.com:80/,baidu
https://web.archive.org/web/20120302062642/http://www.1001-attitude.com:80/,
https://web.archive.org/web/20120420015800/http://101science.com:80/,"amazon,google-analytics"
https://web.archive.org/web/20120508013613/http://www.10emtudo.com.br:80/,"google,addthis,google-analytics,googleapis"
https://web.archive.org/web/20120520050741/http://www.10ticks.co.uk/,"facebook,addthis,google"
https://web.archive.org/web/20120526131849/http://www.121sensei.com/,
https://web.archive.org/web/20120419102049/http://www.121spanish.com:80/,"addthis,facebook,google-analytics,youtube,skype,appspot,google"
https://web.archive.org/web/20120509203451/http://123child.com/,"googleadservices,facebook,quantserve,qksz"
https://web.archive.org/web/20120510221635/http://www.123teachme.com:80/,"googlesyndication,cloudfront,google-analytics,facebook,google,googleapis"
https://web.archive.org/web/20120413131706/http://www.12thmanfoundation.com:80/,"google-analytics,googleapis"
https://web.archive.org/web/20131217010707/http://www.1lo.gniezno.pl/,
https://web.archive.org/web/20130107015216/http://www.1safedriver.com:80/,"jquery,google-analytics"
https://web.archive.org/web/20120716202738/http://www.1stclassdriving.co.uk/,"googleadservices,google-analytics"
https://web.archive.org/web/20120523175721/http://1tvs.ru/,"yadro,rambler,yandex"
https://web.archive.org/web/20120521222257/http://2004.sports.sohu.com/,
https://web.archive.org/web/20120605051602/http://2010.sina.com.cn/,"sinaimg,imrworldwide,doubleclick"
https://web.archive.org/web/20120518003521/http://2012.chinadaily.com.cn:80/,google-analytics
https://web.archive.org/web/20120504031107/http://2012.sina.com.cn/,"sinaimg,imrworldwide"
https://web.archive.org/web/20120525062330/http://www.21.edu.ar:80/,"google-analytics,googleapis"
https://web.archive.org/web/20120528191902/http://21cif.com/,"facebook,google-analytics,google"
https://web.archive.org/web/20120414001216/http://21slo.edu.pl:80/,
https://web.archive.org/web/20120426212347/http://26316-blagsosh1.edusite.ru:80/,
https://web.archive.org/web/20120414022044/http://268generation.com:80/,google-analytics
