url,3p-domain
https://web.archive.org/web/20130520140904/http://aast.edu/,
https://web.archive.org/web/20130604014857/http://aast.horrycountyschools.net:80/,
https://web.archive.org/web/20130601065430/http://www.aate.org.au:80/,
https://web.archive.org/web/20130411083120/http://aau.org/,
https://web.archive.org/web/20130527215656/http://www.aauj.edu:80/,
https://web.archive.org/web/20130412152747/http://www.aaup.org/,google-analytics
https://web.archive.org/web/20130523011811/http://aba-albstadt.info/,
https://web.archive.org/web/20130522183732/http://www.abate-il.org:80/,google
https://web.archive.org/web/20130520221320/http://abateflorida.com/,"openx,comm100,twimg,blogspot"
https://web.archive.org/web/20130518191923/http://abateofcolo.org/,
https://web.archive.org/web/20130521084205/http://abateofindiana.org/,"youtube,google-analytics"
https://web.archive.org/web/20130518224955/http://abateofoklahoma.org/,"wp,wordpress"
https://web.archive.org/web/20130517154715/http://abatepa.org/,google
https://web.archive.org/web/20130518165617/http://abatesc.com/,"facebook,addthis,google-analytics"
https://web.archive.org/web/20130520234534/http://abbeyathletics.com/,google-analytics
https://web.archive.org/web/20130424191113/http://www.abbfonsolterdissen.nl/,
https://web.archive.org/web/20130925042941/http://abbotbeyne.staffs.sch.uk:80/,
https://web.archive.org/web/20130523103554/http://www.abbotsleigh.nsw.edu.au/,"google-analytics,microsoft"
https://web.archive.org/web/20130512025614/http://www.abc.edu.cn:80/,baidu
https://web.archive.org/web/20130523052640/http://www.abcawards.co.uk/,"getclicky,cloudfront,google-analytics"
https://web.archive.org/web/20130531043036/http://www.abcbartending.com/,google-analytics
https://web.archive.org/web/20130512215503/http://abccampus.ca/,"google-analytics,fbcdn,google,googleapis"
https://web.archive.org/web/20130523002659/http://abceda.com/,statcounter
https://web.archive.org/web/20130518195912/http://abcontario.ca/,
https://web.archive.org/web/20130518074259/http://abcschool.com/,
https://web.archive.org/web/20130518104823/http://abcte.org/,"youtube,sharethis"
https://web.archive.org/web/20130510234455/http://abe.illinois.edu/,
https://web.archive.org/web/20130630102732/http://abeam.feemcat.org:80/,
https://web.archive.org/web/20130518103011/http://abendgymnasium.de/,
https://web.archive.org/web/20130519093614/http://www.aber.ac.uk:80/,"doubleclick,cloudfront,google-analytics,googleadservices,googleapis"
https://web.archive.org/web/20130601120554/http://www.abernathyisd.com:80/,
https://web.archive.org/web/20130510090822/http://www.abes.ac.in:80/,"youtube,google-analytics"
https://web.archive.org/web/20130401071501/http://www.abhes.org/,google-analytics
https://web.archive.org/web/20130524045315/http://www.abi-ev.de/,
https://web.archive.org/web/20130527015408/http://www.abiformazione.it:80/,
https://web.archive.org/web/20130521064646/http://abis-in-leipzig.de/,googleapis
https://web.archive.org/web/20130429144946/http://abit.ifmo.ru/,"vk,rambler"
https://web.archive.org/web/20130521103904/http://abitu.ru/,"userapi,rambler,yahoo,google-analytics"
https://web.archive.org/web/20130507184213/http://abiturient.by/,"google-analytics,yandex"
https://web.archive.org/web/20130519093651/http://www.abiunity.de:80/,
https://web.archive.org/web/20130518071416/http://abjag.vil.ee:80/?,
https://web.archive.org/web/20130508172942/http://www.abk-stuttgart.de/,
https://web.archive.org/web/20130522110232/http://ablechild.org/,"cloudfront,google-analytics,google"
https://web.archive.org/web/20130516194952/http://www.ableweb.org/,"facebook,google-analytics"
https://web.archive.org/web/20130523175948/http://abmcollege.com/,"google-analytics,googleapis"
https://web.archive.org/web/20130515191058/http://www.abmes.org.br:80/,google-analytics
https://web.archive.org/web/20130523201846/http://abookintime.com/,"google-analytics,gstatic,google,googlesyndication"
https://web.archive.org/web/20130523122737/http://abraarschool.com/,google-analytics
https://web.archive.org/web/20130520065904/http://www.abruc.org.br/,
https://web.archive.org/web/20130521215408/http://www.abruzzo.istruzione.it:80/,google-analytics
https://web.archive.org/web/20130521035234/http://abs-bund.de/,
https://web.archive.org/web/20130505005754/http://abs.edu/,
https://web.archive.org/web/20130428185510/http://www.absc.ku.edu/,
https://web.archive.org/web/20130523133912/http://www.absolvia.de/,
https://web.archive.org/web/20130518042920/http://www.absparis.org/,"youtube,xiti"
https://web.archive.org/web/20130413220147/http://www.abss.k12.nc.us/,"app,google-analytics,googleusercontent,google,googleapis"
https://web.archive.org/web/20130518134415/http://absw.edu/,facebook
https://web.archive.org/web/20130420061816/http://abtech.edu/,"google-analytics,googleapis"
https://web.archive.org/web/20130520142027/http://abtech.org/,
https://web.archive.org/web/20130203023916/http://www.abzlambach.at/,
https://web.archive.org/web/20130517030227/http://www.ac-aix-marseille.fr:80/,
https://web.archive.org/web/20130518232506/http://ac-besancon.fr/,google-analytics
https://web.archive.org/web/20130520050232/http://www.ac-bordeaux.fr:80/,
https://web.archive.org/web/20130410151850/http://www.ac-caen.fr:80/?,"xiti,google-analytics"
https://web.archive.org/web/20130410131003/http://www.ac-clermont.fr:80/,google-analytics
https://web.archive.org/web/20130414022016/http://www.ac-creteil.fr:80/,xiti
https://web.archive.org/web/20130520134216/http://ac-dijon.fr/,xiti
https://web.archive.org/web/20130404010806/http://www.ac-grenoble.fr/,
https://web.archive.org/web/20130316014146/http://www.ac-guadeloupe.fr:80/?,
https://web.archive.org/web/20130523053812/http://ac-lille.fr/,xiti
https://web.archive.org/web/20130521082921/http://www.ac-limoges.fr:80/,xiti
