url,3p-domain
https://web.archive.org/web/20160520020142/http://www.027art.com,baidu
https://web.archive.org/web/20160430150526/http://1001-attitude.com/,"googleapis,w"
https://web.archive.org/web/20160424121309/http://101science.com:80/,"amazon-adsystem,google-analytics"
https://web.archive.org/web/20160617212138/http://www.10emtudo.com.br/,"google,addthis,google-analytics,googleapis"
https://web.archive.org/web/20160530121932/http://www.10ticks.co.uk:80/,"doubleclick,addthis,google-analytics,googleadservices,facebook,google"
https://web.archive.org/web/20160623182931/http://www.121sensei.com/,
https://web.archive.org/web/20160424021919/http://121spanish.com/,"youtube,google-analytics,google"
https://web.archive.org/web/20160620225347/http://123child.com/,"pinterest,facebook"
https://web.archive.org/web/20160523074350/http://www.123teachme.com:80/,"googlesyndication,cloudfront,google-analytics,facebook,google"
https://web.archive.org/web/20160413084158/http://www.12thmanfoundation.com:80/?,"adroll,doubleclick,typekit,addthis,google-analytics,amazonaws,google"
https://web.archive.org/web/20160526194935/http://1lo.gniezno.pl/,
https://web.archive.org/web/20160517191733/http://www.1safedriver.com:80/,"jquery,google-analytics"
https://web.archive.org/web/20160525083208/http://www.1stclassdriving.co.uk:80/?,"youtube,google-analytics"
https://web.archive.org/web/20160408031537/http://1tvs.ru/,"yadro,rambler,google-analytics,yandex,youtube,googleapis"
https://web.archive.org/web/20160505051521/http://2004.sports.sohu.com/,
https://web.archive.org/web/20160526044654/http://2010.sina.com.cn/,"sinaimg,doubleclick"
https://web.archive.org/web/20160603110312/http://2012.chinadaily.com.cn/,"cloudfront,google-analytics"
https://web.archive.org/web/20160522172903/http://2012.sina.com.cn/,sinaimg
https://web.archive.org/web/20160518064558/http://www.21.edu.ar:80/,"marketo,doubleclick,omtrdc,google-analytics,googleadservices,facebook,youtube,adnxs"
https://web.archive.org/web/20160508103342/http://21cif.com:80/,
https://web.archive.org/web/20160505025605/http://www.21slo.edu.pl:80/,facebook
https://web.archive.org/web/20160304112841/http://26316-blagsosh1.edusite.ru/,
https://web.archive.org/web/20160412172747/http://www.268generation.com:80/,"bootstrapcdn,w,googletagmanager,t,facebook,twitter,amazonaws,googleapis"
https://web.archive.org/web/20160524135021/http://www.2cj.com:80/,
https://web.archive.org/web/20160505225917/http://2ei.univ-perp.fr/,google-analytics
https://web.archive.org/web/20160324144322/http://www.2ie-edu.org/,"googleapis,google-analytics,doubleclick"
https://web.archive.org/web/20160503133445/http://www.2lolowicz.pl/,
https://web.archive.org/web/20160417165915/http://www.301.dyon.pl:80/,google-analytics
https://web.archive.org/web/20160314223106/http://www.35icho.uoa.gr/,
https://web.archive.org/web/20160518010618/http://www.3jidi.com:80/,
https://web.archive.org/web/20160529041341/http://www.3people.com.tw:80/,"youtube,facebook,google-analytics,google"
https://web.archive.org/web/20160531061248/http://www.48fm.com/,"creativecommons,wp,w"
https://web.archive.org/web/20160530103534/http://www.4c.org:80/,"google-analytics,google"
https://web.archive.org/web/20160526001857/http://4h.ucanr.edu:80/?,"youtube,google-analytics"
https://web.archive.org/web/20160519215513/http://www.4j.lane.edu:80/,"google-analytics,w"
https://web.archive.org/web/20160527055632/http://www.4mation.co.uk/,
https://web.archive.org/web/20160520091251/http://www.4teachers.de:80/,"cloudflare,jsdelivr,facebook,jquery,google-analytics,aspnetcdn"
https://web.archive.org/web/20160527022330/http://www.4teachers.org:80/,"quantserve,scorecardresearch,google-analytics,googleadservices,openx"
https://web.archive.org/web/20160526033412/http://www.4tests.com:80/,"quantserve,addthis,google-analytics,googletagservices,google,googleapis"
https://web.archive.org/web/20160522114258/http://www.52school.com:80/,"doubleclick,microad,googletagmanager,yahoo,google-analytics,googleadservices"
https://web.archive.org/web/20160530191909/http://www.5aaa.com:80/,baidu
