crawl,url_host_name,url_host_registered_domain,warc_filename,url,warc_record_offset,warc_record_length,ranking,year
CC-MAIN-2016-07,www.katzenfuttergeleespritzer.de,katzenfuttergeleespritzer.de,crawl-data/CC-MAIN-2016-07/segments/1454701160958.15/warc/CC-MAIN-20160205193920-00095-ip-10-236-182-209.ec2.internal.warc.gz,http://www.katzenfuttergeleespritzer.de/?tag=auf-der-strase,519046930,9334,1,2016
CC-MAIN-2016-07,www.teatergiljotin.se,teatergiljotin.se,crawl-data/CC-MAIN-2016-07/segments/1454701160822.87/warc/CC-MAIN-20160205193920-00218-ip-10-236-182-209.ec2.internal.warc.gz,http://www.teatergiljotin.se/,709687024,15970,1,2016
CC-MAIN-2016-44,www.totalexperience.ie,totalexperience.ie,crawl-data/CC-MAIN-2016-44/segments/1476988720615.90/warc/CC-MAIN-20161020183840-00196-ip-10-171-6-4.ec2.internal.warc.gz,http://www.totalexperience.ie/,743744457,35367,1,2016
CC-MAIN-2016-50,www.totheater.nl,totheater.nl,crawl-data/CC-MAIN-2016-50/segments/1480698542412.97/warc/CC-MAIN-20161202170902-00145-ip-10-31-129-80.ec2.internal.warc.gz,http://www.totheater.nl/,754593463,9683,1,2016
CC-MAIN-2016-22,www.jbb.uni-plovdiv.bg,uni-plovdiv.bg,crawl-data/CC-MAIN-2016-22/segments/1464049281363.50/warc/CC-MAIN-20160524002121-00142-ip-10-185-217-139.ec2.internal.warc.gz,http://www.jbb.uni-plovdiv.bg/,618648884,5778,1,2016
CC-MAIN-2016-50,www.italgrob.it,italgrob.it,crawl-data/CC-MAIN-2016-50/segments/1480698541324.73/warc/CC-MAIN-20161202170901-00242-ip-10-31-129-80.ec2.internal.warc.gz,http://www.italgrob.it/,528254116,10466,1,2016
CC-MAIN-2016-44,www.amfibietreks.de,amfibietreks.de,crawl-data/CC-MAIN-2016-44/segments/1476988725451.13/warc/CC-MAIN-20161020183845-00021-ip-10-171-6-4.ec2.internal.warc.gz,http://www.amfibietreks.de/,304274064,26404,1,2016
CC-MAIN-2016-22,www.reporter.si,reporter.si,crawl-data/CC-MAIN-2016-22/segments/1464049275645.9/warc/CC-MAIN-20160524002115-00106-ip-10-185-217-139.ec2.internal.warc.gz,http://www.reporter.si/,771407796,16134,1,2016
CC-MAIN-2016-30,www.safeshops.be,safeshops.be,crawl-data/CC-MAIN-2016-30/segments/1469257827080.38/warc/CC-MAIN-20160723071027-00297-ip-10-185-27-174.ec2.internal.warc.gz,http://www.safeshops.be/?lang=fr,685865379,16450,1,2016
CC-MAIN-2016-18,www.luxetalent.es,luxetalent.es,crawl-data/CC-MAIN-2016-18/segments/1461860122902.86/warc/CC-MAIN-20160428161522-00217-ip-10-239-7-51.ec2.internal.warc.gz,http://www.luxetalent.es/,656621947,36799,1,2016
CC-MAIN-2016-30,www.livenet.it,livenet.it,crawl-data/CC-MAIN-2016-30/segments/1469257824230.71/warc/CC-MAIN-20160723071024-00326-ip-10-185-27-174.ec2.internal.warc.gz,http://www.livenet.it/,554164044,19030,1,2016
CC-MAIN-2016-30,www.getavocat.fr,getavocat.fr,crawl-data/CC-MAIN-2016-30/segments/1469257824185.14/warc/CC-MAIN-20160723071024-00310-ip-10-185-27-174.ec2.internal.warc.gz,http://www.getavocat.fr/,467174638,7179,1,2016
CC-MAIN-2016-36,www.martin-hirte.de,martin-hirte.de,crawl-data/CC-MAIN-2016-36/segments/1471982292659.26/warc/CC-MAIN-20160823195812-00048-ip-10-153-172-175.ec2.internal.warc.gz,http://www.martin-hirte.de/,569087525,23216,1,2016
CC-MAIN-2016-36,www.dref.de,dref.de,crawl-data/CC-MAIN-2016-36/segments/1471982946797.95/warc/CC-MAIN-20160823200906-00297-ip-10-153-172-175.ec2.internal.warc.gz,http://www.dref.de/,420915692,13869,1,2016
CC-MAIN-2016-26,www.urbancycle.fr,urbancycle.fr,crawl-data/CC-MAIN-2016-26/segments/1466783404405.88/warc/CC-MAIN-20160624155004-00149-ip-10-164-35-72.ec2.internal.warc.gz,http://www.urbancycle.fr/,934253129,9566,1,2016
CC-MAIN-2016-18,www.oradesibiu.ro,oradesibiu.ro,crawl-data/CC-MAIN-2016-18/segments/1461860113553.63/warc/CC-MAIN-20160428161513-00061-ip-10-239-7-51.ec2.internal.warc.gz,http://www.oradesibiu.ro/,725740784,32890,1,2016
CC-MAIN-2016-26,www.jazoo.si,jazoo.si,crawl-data/CC-MAIN-2016-26/segments/1466783395560.69/warc/CC-MAIN-20160624154955-00116-ip-10-164-35-72.ec2.internal.warc.gz,http://www.jazoo.si/,652324809,6252,1,2016
