crawl,url_host_name,url_host_registered_domain,warc_filename,url,warc_record_offset,warc_record_length,ranking,year
CC-MAIN-2015-27,www.cmati.xunta.es,xunta.es,crawl-data/CC-MAIN-2015-27/segments/1435375096870.66/warc/CC-MAIN-20150627031816-00093-ip-10-179-60-89.ec2.internal.warc.gz,http://www.cmati.xunta.es/,409791388,12641,1,2015
CC-MAIN-2015-11,www.thomasmore.be,thomasmore.be,crawl-data/CC-MAIN-2015-11/segments/1424936462982.10/warc/CC-MAIN-20150226074102-00231-ip-10-28-5-156.ec2.internal.warc.gz,http://www.thomasmore.be/,787284176,12126,1,2015
CC-MAIN-2015-35,www.insolent.fr,insolent.fr,crawl-data/CC-MAIN-2015-35/segments/1440644063666.29/warc/CC-MAIN-20150827025423-00001-ip-10-171-96-226.ec2.internal.warc.gz,http://www.insolent.fr/,512565058,14313,1,2015
CC-MAIN-2015-40,www.region-orlickehory.cz,region-orlickehory.cz,crawl-data/CC-MAIN-2015-40/segments/1443737882743.52/warc/CC-MAIN-20151001221802-00198-ip-10-137-6-227.ec2.internal.warc.gz,http://www.region-orlickehory.cz/,865647468,10064,1,2015
CC-MAIN-2015-18,www.starterre.fr,starterre.fr,crawl-data/CC-MAIN-2015-18/segments/1429246654687.23/warc/CC-MAIN-20150417045734-00032-ip-10-235-10-82.ec2.internal.warc.gz,http://www.starterre.fr/,806682669,31596,1,2015
CC-MAIN-2015-18,www.mojazaposlitev.si,mojazaposlitev.si,crawl-data/CC-MAIN-2015-18/segments/1429246637445.19/warc/CC-MAIN-20150417045717-00244-ip-10-235-10-82.ec2.internal.warc.gz,http://www.mojazaposlitev.si/,655879991,17241,1,2015
CC-MAIN-2015-06,www.pfefferminzia.de,pfefferminzia.de,crawl-data/CC-MAIN-2015-06/segments/1422122039674.71/warc/CC-MAIN-20150124175359-00057-ip-10-180-212-252.ec2.internal.warc.gz,http://www.pfefferminzia.de/,966470574,18358,1,2015
CC-MAIN-2015-14,www.boerderij.nl,boerderij.nl,crawl-data/CC-MAIN-2015-14/segments/1427131297281.13/warc/CC-MAIN-20150323172137-00107-ip-10-168-14-71.ec2.internal.warc.gz,http://www.boerderij.nl/,389037694,19253,1,2015
CC-MAIN-2015-22,www.publicplan.de,publicplan.de,crawl-data/CC-MAIN-2015-22/segments/1432207929561.98/warc/CC-MAIN-20150521113209-00240-ip-10-180-206-219.ec2.internal.warc.gz,https://www.publicplan.de/,909058637,8541,1,2015
CC-MAIN-2015-18,www.faerge.dk,faerge.dk,crawl-data/CC-MAIN-2015-18/segments/1429246661733.69/warc/CC-MAIN-20150417045741-00221-ip-10-235-10-82.ec2.internal.warc.gz,http://www.faerge.dk/,472153429,58024,1,2015
CC-MAIN-2015-48,www.hrej.cz,hrej.cz,crawl-data/CC-MAIN-2015-48/segments/1448398447729.93/warc/CC-MAIN-20151124205407-00320-ip-10-71-132-137.ec2.internal.warc.gz,http://www.hrej.cz/?showcase=3,486582740,13328,1,2015
CC-MAIN-2015-18,www.irishhorsegateway.ie,irishhorsegateway.ie,crawl-data/CC-MAIN-2015-18/segments/1429246662032.70/warc/CC-MAIN-20150417045742-00254-ip-10-235-10-82.ec2.internal.warc.gz,http://www.irishhorsegateway.ie/,569036617,19843,1,2015
CC-MAIN-2015-06,www.alagna.it,alagna.it,crawl-data/CC-MAIN-2015-06/segments/1422115868812.73/warc/CC-MAIN-20150124161108-00008-ip-10-180-212-252.ec2.internal.warc.gz,http://www.alagna.it/?id_cat=lodging,428016710,12361,1,2015
CC-MAIN-2015-32,www.alsettimogelo.it,alsettimogelo.it,crawl-data/CC-MAIN-2015-32/segments/1438042990123.20/warc/CC-MAIN-20150728002310-00201-ip-10-236-191-2.ec2.internal.warc.gz,http://www.alsettimogelo.it/,295029653,4883,1,2015
CC-MAIN-2015-06,www.e-magazino.gr,e-magazino.gr,crawl-data/CC-MAIN-2015-06/segments/1422115860608.29/warc/CC-MAIN-20150124161100-00119-ip-10-180-212-252.ec2.internal.warc.gz,http://www.e-magazino.gr/?p=1139,625718319,14568,1,2015
